review,label
"the movie begins in the past where a young boy named sam attempts to save celebi from a hunter .",obj
"emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its place in the history of modern art while being created by artists who are unconscious of their artistic achievements .",obj
"spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child .",obj
"amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic as it may sound .",obj
"she , among others excentricities , talks to a small rock , gertrude , like if she was alive .",obj
"this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had .",obj
"styled after vh1's  behind the music ,  this mockumentary profiles the rise and fall of an internet startup , called icevancom .",obj
"being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions .",obj
"the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation .",obj
"david is a painter with painter's block who takes a job as a waiter to get some inspiration .",obj
"women craved him and men wanted to be him .",obj
"set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer .",obj
"lesson to be learned : never , never mess with  the gay mafia",obj
"the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers .",obj
"they're jewish , they're grandmothers , and they're lesbians .",obj
"but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi .",obj
"with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code .",obj
"valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it .",obj
"saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers .",obj
"deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking .",obj
"as a young teenager , he finds out who his father is .",obj
"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in  &#193 ; nglio ,  la's east side .",obj
"all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto .",obj
"television made him famous , but his biggest hits happened off screen .",obj
"jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice .",obj
"'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors .",obj
"however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales .",obj
"called  an elegant documentary  by sundance and  eloquent and deeply moving  by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer's search for truth and beauty in a world of impermanence .",obj
"straight up : helicopters in action will take audiences on a series of aerial adventures .",obj
"a lapp woman anni gives a shelter to both of them at her farm .",obj
"it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots .",obj
"a set of grisly murders brings fbi agent will graham ( norton ) out of retirement and puts him in search of an atrocious killer ( fiennes ) who's driven by the image of a painting .",obj
"soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing .",obj
"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives .",obj
"with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul .",obj
"seeking a mental escape , simone begins to tune into what's happening with the other couples around her .",obj
