review,label
"simplistic , silly and tedious",neg
"it's so laddish and juvenile , only teenage boys could possibly find it funny",neg
"exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable",neg
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation",neg
"a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification",neg
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count",neg
"about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time",neg
"not so much farcical as sour",neg
"unfortunately the story and the actors are served with a hack script",neg
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject",neg
"a sentimental mess that never rings true",neg
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary",neg
"interesting , but not compelling",neg
"on a cutting room floor somewhere lies.footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire",neg
"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle",neg
"there is a difference between movies with the courage to go over the top and movies that don't care about being stupid",neg
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah",neg
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us  the skulls  and last year's  rollerball enough said , except : film overboard",neg
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha",neg
"this 100-minute movie only has about 25 minutes of decent material",neg
"the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl",neg
"on its own , it's not very interestingas a remake , it's a pale imitation",neg
"it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action",neg
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films",neg
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma",neg
"the party scenes deliver some tawdry kicksthe rest of the film.is dudsville",neg
"our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie'",neg
"the criticism never rises above easy , cynical potshots at morally bankrupt characters.",neg
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched storykilling time , that's all that's going on here",neg
"stupid , infantile , redundant , sloppy , over-the-top , and amateurishyep , it's  waking up in reno go back to sleep",neg
"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates",neg
"the action clichés just pile up",neg
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast",neg
"the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear",neg
"another useless recycling of a brutal mid-'70s american sports movie",neg
"i didn't laughi didn't smilei survived",neg
"please , someone , stop eric schaeffer before he makes another film",neg
