review,label
"smart and alert , thirteen conversations about one thing is a small gem",pos
"color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking",pos
"it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another",pos
"a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew",pos
"my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more",pos
"works both as an engaging drama and an incisive look at the difficulties facing native americans",pos
"even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture",pos
"when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart",pos
"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script",pos
"the script is a tired one , with few moments of joy rising above the stale material",pos
"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is",pos
"directed by david twohy with the same great eye for eerie understatement that he brought to pitch black",pos
"it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere",pos
"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already",pos
"worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees",pos
"watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it",pos
"despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age",pos
"it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own",pos
"preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure",pos
"4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly",pos
"si el siglo xxi necesita de héroes , el hombre araña parece haber llegado para quedarse",pos
"it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins",pos
"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time",pos
"writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable",pos
"hill looks to be going through the motions , beginning with the pale script",pos
"extremely well cast , especially in the large number of supporting roles",pos
"a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933",pos
"a dark , quirky road movie that constantly defies expectation",pos
"impostor doesn't do much with its template , despite a remarkably strong cast",pos
"though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting",pos
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii",pos
"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening",pos
"a work that lacks both a purpose and a strong pulse",pos
"it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid",pos
"a mimetic approximation of better films like contempt and 8 1/2",pos
"eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes",pos
"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions",pos
"stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition",pos
" . . . a joke at once flaky and resonant , lightweight and bizarrely original",pos
"fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal",pos
"starts slowly , but adrien brody – in the title role – helps make the film's conclusion powerful and satisfying",pos
"a refreshing change from the usual whoopee-cushion effort aimed at the youth market",pos
"you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch",pos
"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful",pos
"a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane",pos
"there's no disguising this as one of the worst films of the summer . or for the year , for that matter",pos
"director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention",pos
"waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while",pos
"the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons",pos
"the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds",pos
"there's lots of cool stuff packed into espn's ultimate x",pos
"it gets old quickly . watch barbershop again if you're in need of a cube fix--this isn't worth sitting through",pos
"harland williams is so funny in drag he should consider permanent sex-reassignment",pos
"the film's images give a backbone to the company and provide an emotional edge to its ultimate demise",pos
"it's the kind of film where the villain even gives an evil look for his passport photo",pos
"plotless collection of moronic stunts is by far the worst movie of the year",pos
"a broad , melodramatic estrogen opera that's pretty toxic in its own right",pos
"just a kiss wants desperately to come off as a fanciful film about the typical problems of average people . but it is set in a world that is very , very far from the one most of us inhabit",pos
"this is a movie where the most notable observation is how long you've been sitting still",pos
"with a romantic comedy plotline straight from the ages , this cinderella story doesn't have a single surprise up its sleeve . but it does somehow manage to get you under its spell",pos
"a charming trifle . . . a welcome return to jocular form",pos
"it's not difficult to spot the culprit early-on in this predictable thriller",pos
"without the dark spookiness of crystal lake camp , the horror concept completely loses its creepy menace",pos
"there's suspension of disbelief and then there's bad screenwriting . . . this film packs a wallop of the latter",pos
"little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable",pos
"anyone who can count to five ( the film's target market ? ) can see where this dumbed-down concoction is going",pos
"every defiantly over-the-top action scene -- from high-stakes car chases to fearsome drug busts -- seizes your adrenal gland and milks it like an epileptic farmer",pos
"kosminsky . . . puts enough salt into the wounds of the tortured and self-conscious material to make it sting",pos
"a sobering and powerful documentary about the most severe kind of personal loss : rejection by one's mother",pos
"if the story lacks bite , the performances are never less than affectionate",pos
"a deftly entertaining film , smartly played and smartly directed",pos
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on",pos
"i like my christmas movies with more elves and snow and less pimps and ho's",pos
"ferrara's strongest and most touching movie of recent years",pos
"skip work to see it at the first opportunity",pos
"both the film and nachtwey's photos hammer home the grim reality of the world's gutters and battlefields , and will make you question what 'news' really is",pos
