review,label
"the rock is destined to be the 21st century's new  conan  and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal",pos
"the gorgeously elaborate continuation of  the lord of the rings  trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of jrrtolkien's middle-earth",pos
"effective but too-tepid biopic",pos
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start",pos
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one",pos
"the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game",pos
"offers that rare combination of entertainment and education",pos
"perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions",pos
"steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate itbut he somehow pulls it off",pos
"take care of my cat offers a refreshingly different slice of asian cinema",pos
"this is a film well worth seeing , talking and singing heads and all",pos
"what really surprises about wisegirls is its low-key quality and genuine tenderness",pos
" ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind",pos
"one of the greatest family-oriented , fantasy-adventure movies ever",pos
"ultimately , it ponders the reasons we need stories so much",pos
"an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question",pos
"illuminating if overly talky documentary",pos
"a masterpiece four years in the making",pos
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries",pos
"offers a breath of the fresh air of true sophistication",pos
"a thoughtful , provocative , insistently humanizing film",pos
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives",pos
"a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass",pos
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare",pos
"scores a few points for doing what it does with a dedicated and good-hearted professionalism",pos
"occasionally melodramatic , it's also extremely effective",pos
"spiderman rocks",pos
"an idealistic love story that brings out the latent 15-year-old romantic in everyone",pos
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar storyhowever , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts",pos
"it helps that lil bow wow.tones down his pint-sized gangsta act to play someone who resembles a real kid",pos
"guaranteed to move anyone who ever shook , rattled , or rolled",pos
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview",pos
"light , cute and forgettable",pos
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid",pos
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy",pos
"though everything might be literate and smart , it never took off and always seemed static",pos
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",pos
"msfulford-wierzbicki is almost spooky in her sulky , calculating lolita turn",pos
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them",pos
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlikea heavy reliance on cgi technology is beginning to creep into the series",pos
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg",pos
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picturemuch of the way , though , this is a refreshingly novel ride",pos
"fuller would surely have called this gutsy and at times exhilarating movie a great yarn",pos
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad'",pos
"the film makes a strong case for the importance of the musicians in creating the motown sound",pos
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat",pos
"gosling provides an amazing performance that dwarfs everything else in the film",pos
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know",pos
"tender yet lacerating and darkly funny fable",pos
"may be spoofing an easy target -- those old '50's giant creature features -- but.it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today",pos
"an engaging overview of johnson's eccentric career",pos
"in its ragged , cheap and unassuming way , the movie works",pos
"some actors have so much charisma that you'd be happy to listen to them reading the phone bookhugh grant and sandra bullock are two such likeable actors",pos
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open",pos
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart",pos
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse",pos
"manages to be original , even though it rips off many of its ideas",pos
"singer/composer bryan adams contributes a slew of songs — a few potential hits , a few more simply intrusive to the story — but the whole package certainly captures the intended , er , spirit of the piece",pos
"you'd think by now america would have had enough of plucky british eccentrics with hearts of goldyet the act is still charming here",pos
